Date,Campaign,Budget,Clicks,Conversion_Rate,Revenue
2020-11-01,Facebook,4204.0,2418.0,4.7,25314.0
2020-12-11,Google Ads,4839.0,2285.0,6.8,35870.0
2020-12-26,Facebook,8837.0,1764.0,3.6,21070.0
2021-01-17,Google Ads,5905.0,1934.0,6.2,36390.0
2021-01-05,Google Ads,9865.0,2230.0,6.7,31746.0
2020-11-15,Google Ads,6579.5,2106.0,4.8,46485.0
2020-12-20,Facebook,5307.0,2329.0,5.4,27105.0
2021-01-13,Google Ads,5763.0,2463.0,5.0,21039.0
2020-11-25,TikTok,4792.0,1635.0,7.3,37782.0
2020-12-03,Instagram,4355.0,2394.0,5.6,22090.0
2020-11-06,TikTok,6579.5,2030.0,4.8,38599.0
2021-01-30,YouTube,6962.0,2082.0,4.4,20279.0
2020-12-26,Facebook,9417.0,1736.5,7.0,20614.0
2020-11-01,Google Ads,4827.0,1678.0,4.8,38830.0
2021-01-06,Instagram,5332.0,1658.0,5.1,39960.0
2020-11-16,Facebook,9749.0,2299.0,6.4,37960.0
2021-01-08,Google Ads,8375.0,2393.0,4.6,33147.0
2021-01-27,TikTok,6211.0,2210.0,6.6,25196.0
2021-01-25,Instagram,4458.0,1369.0,7.2,44379.0
2020-11-26,Instagram,7286.0,1448.0,3.8,47921.0
2020-12-17,YouTube,9881.0,1544.0,5.45,34358.0
2020-12-26,TikTok,9266.0,1839.0,4.1,22575.0
2020-11-09,Google Ads,8598.0,2003.0,4.7,37155.0
2021-01-25,TikTok,8780.0,1717.0,5.1,22532.0
2020-12-13,YouTube,8042.0,1086.0,6.9,46216.0
2021-01-19,Facebook,5252.0,1736.5,4.2,40298.0
2020-12-11,TikTok,8885.0,1030.0,5.2,37526.0
2021-01-24,TikTok,8334.0,1414.0,7.9,36270.0
2020-11-16,Facebook,9572.0,2376.0,4.0,46992.0
2020-12-09,YouTube,6185.0,2474.0,6.4,21655.0
2020-12-01,Facebook,7561.0,1223.0,5.5,49254.0
2021-01-04,Instagram,8100.0,2460.0,4.3,47904.0
2020-12-10,Facebook,9122.0,1511.0,7.3,34635.0
2021-01-25,YouTube,5629.0,1213.0,5.2,23293.0
2020-12-23,YouTube,8344.0,901.0,6.2,34010.0
2020-12-12,Unknown,4916.0,1643.0,7.5,45252.0
2020-12-22,Instagram,5961.0,1018.0,4.6,36591.0
2021-01-29,Facebook,4701.0,2398.0,5.7,20267.0
2020-12-08,YouTube,5030.0,1162.0,6.5,49026.0
2021-01-10,YouTube,5352.0,1442.0,5.9,37876.0
2020-11-17,TikTok,5735.0,2004.0,5.45,40605.0
2020-11-25,Google Ads,9840.0,1538.0,5.3,40009.0
2020-12-24,Instagram,7588.0,1959.0,5.5,26123.0
2021-01-25,Google Ads,4524.0,1592.0,3.6,36150.0
2020-12-19,Google Ads,8820.0,1351.0,3.5,41194.0
2020-12-16,Google Ads,5875.0,1038.0,7.6,46168.0
2021-01-26,Instagram,4580.0,1952.0,4.6,39921.0
2020-11-23,TikTok,5755.0,2004.0,4.1,48654.0
2021-01-18,YouTube,8720.0,1868.0,4.6,33498.0
2021-01-12,TikTok,5559.0,1093.0,3.9,32124.0
2020-12-09,Instagram,7469.0,1741.0,5.6,41890.0
2020-12-22,Facebook,9516.0,2238.0,7.9,21224.0
2021-01-10,Facebook,7298.0,2391.0,5.0,46235.0
2020-11-01,Facebook,6579.5,1292.0,4.4,32700.0
2020-12-09,Google Ads,7456.0,1275.0,4.8,26185.0
2020-12-07,Facebook,7630.0,2027.0,3.9,39369.0
2020-11-27,YouTube,4120.0,1091.0,7.7,45810.0
2020-12-26,Google Ads,5362.0,1732.0,5.7,25004.0
2021-01-14,TikTok,4480.0,1237.0,5.2,30793.0
2021-01-17,Instagram,7727.0,1484.0,5.4,49369.0
2020-12-31,YouTube,9422.0,2371.0,5.7,36270.0
2021-01-23,Instagram,5783.0,1019.0,6.1,35766.0
2020-12-12,Facebook,6569.0,1017.0,3.7,33623.0
2020-12-30,YouTube,8350.0,1222.0,3.8,34640.0
2020-12-27,Facebook,5522.0,1040.0,6.2,40125.0
2020-12-27,Google Ads,7307.0,1145.0,7.7,36667.0
2021-01-26,Google Ads,8742.0,1736.5,3.7,20686.0
2020-11-28,TikTok,9385.0,2095.0,6.0,28366.0
2021-01-05,Instagram,5673.0,2271.0,6.7,25821.0
2020-12-31,Instagram,7242.0,1168.0,6.5,27830.0
2020-11-22,Instagram,6590.0,2439.0,7.7,18305.0
