Date,Campaign,Budget,Clicks,Conversion_Rate,Revenue
"November 01, 2020",Facebook,"₱4,204","2,418",4.7%,"₱25,314"
2020-11-02,Google Ads,4839,2285,6.8%,35870
2020-11-03,Facebook,₱8837,1764,3.6%,"₱21,070"
2020-11-04,Google Ads,"₱5,905",1934,6.2%,36390
2020-11-05,Google Ads,9865,"2,230",6.7%,"₱31,746"
2020-11-06,Google Ads,,2106,4.8%,46485
2020-11-07,Facebook,"₱5,307",2329,5.4%,"₱27,105"
2020-11-08,Google Ads,5763,2463,5.0%,21039
2020-11-09,TikTok,₱4792,"1,635",7.3%,"₱37,782"
2020-11-10,Instagram,"₱4,355",2394,5.6%,22090
2020-11-11,TikTok,"₱500,000",2030,4.8%,"₱38,599"
2020-11-12,YouTube,₱6962,2082,4.4%,20279
2020-11-13,Facebook,"₱9,417",,7.0%,"₱20,614"
2020-11-14,Google Ads,4827,1678,4.8%,38830
2020-11-15,Instagram,₱5332,1658,5.1%,"₱39,960"
"November 16, 2020",facebook,"₱9,749",2299,6.4%,37960
2020-11-17,Google Ads,8375,"2,393",4.6%,"₱33,147"
2020-11-18,TikTok,₱6211,2210,6.6%,25196
2020-11-19,Instagram,"₱4,458",1369,7.2%,"₱44,379"
2020-11-20,Instagram,7286,1448,3.8%,47921
2020/11/21,YouTube,₱9881,"1,544",,"₱34,358"
2020-11-22,TikTok,"₱9,266",1839,4.1%,22575
2020-11-23,Google Ads,8598,2003,4.7%,"₱37,155"
2020-11-24,TikTok,₱8780,1717,5.1%,22532
2020-11-25,YouTube,"₱8,042","1,086",6.9%,"₱46,216"
2020-11-26,Facebook,5252,"95,000",4.2%,40298
2020-11-27,TikTok,₱8885,1030,5.2%,"₱37,526"
2020-11-28,TikTok,"₱8,334",1414,7.9%,
2020-11-29,Facebook,9572,"2,376",4.0%,"₱46,992"
2020-11-30,YouTube,₱6185,2474,6.4%,21655
"December 01, 2020",FACEBOOK,"₱7,561",1223,5.5%,"₱49,254"
2020-12-02,Instagram,8100,2460,4.3%,47904
2020-12-03,Facebook,₱9122,"1,511",7.3%,"₱34,635"
2020-12-04,YouTube,"₱5,629",1213,5.2%,23293
2020-12-05,YouTube,8344,901,6.2%,"₱34,010"
2020-12-06,,₱4916,1643,7.5%,45252
2020-12-07,Instagram,"₱5,961","1,018",4.6%,"₱36,591"
2020-12-08,Facebook,4701,2398,5.7%,20267
2020-12-09,YouTube,₱5030,1162,6.5%,"₱49,026"
2020-12-10,YouTube,"₱5,352",1442,5.9%,37876
2020/12/11,TikTok,5735,"2,004",85%,"₱40,605"
2020-12-12,Google Ads,₱9840,1538,5.3%,40009
2020-12-13,Instagram,"₱7,588",1959,5.5%,"₱26,123"
2020-12-14,Google Ads,4524,1592,3.6%,36150
,Google Ads,₱8820,"1,351",3.5%,"₱41,194"
"December 16, 2020",Google ads,"₱5,875",1038,7.6%,46168
2020-12-17,Instagram,4580,1952,4.6%,"₱39,921"
2020-12-18,TikTok,₱5755,2004,4.1%,48654
2020-12-19,YouTube,"₱8,720","1,868",4.6%,"₱33,498"
2020-12-20,TikTok,5559,1093,3.9%,32124
2020-12-21,Instagram,₱7469,1741,5.6%,"₱41,890"
2020-12-22,Facebook,"₱9,516",2238,7.9%,21224
2020-12-23,Facebook,7298,"2,391",5.0%,"₱46,235"
2020-12-24,Facebook,,1292,4.4%,32700
2020-12-25,Google Ads,"₱7,456",1275,4.8%,"₱26,185"
2020-12-26,Facebook,7630,2027,3.9%,39369
2020-12-27,YouTube,₱4120,"1,091",7.7%,"₱45,810"
2020-12-28,Google Ads,"₱5,362",1732,5.7%,25004
2020-12-29,TikTok,4480,1237,5.2%,"₱30,793"
2020-12-30,Instagram,₱7727,1484,5.4%,49369
"December 31, 2020",YouTube,"₱9,422","2,371",5.7%,"₱5,000,000"
2021-01-01,Instagram,5783,1019,6.1%,35766
2021-01-02,Facebook,₱6569,1017,3.7%,"₱33,623"
2021-01-03,YouTube,"₱8,350",1222,3.8%,34640
2021-01-04,Facebook,5522,"1,040",6.2%,"₱40,125"
2021-01-05,Google Ads,₱7307,1145,7.7%,36667
2021-01-06,Google Ads,"₱8,742",,3.7%,"₱20,686"
2021-01-07,TikTok,9385,2095,6.0%,28366
2021-01-08,Instagram,₱5673,"2,271",6.7%,"₱25,821"
2021-01-09,Instagram,"₱7,242",1168,6.5%,27830
2021-01-10,instagram,6590,2439,7.7%,"₱18,305"
2021-01-11,TikTok,₱9088,2053,8.0%,20400
2021-01-12,YouTube,"₱5,746","1,936",4.7%,"₱48,581"
2021-01-13,Instagram,4563,1400,5.2%,23169
2021-01-14,TikTok,₱8450,2340,4.9%,"₱44,447"
"January 15, 2021",YouTube,"₱250,000",2267,7.2%,27810
2021-01-16,Facebook,5100,"1,441",4.0%,"₱21,507"
2021-01-17,YouTube,₱5273,1457,4.8%,24901
2021-01-18,Instagram,"₱5,667",2307,6.4%,
2021-01-19,YouTube,8002,1414,7.6%,45725
2021/01/20,Facebook,₱4756,"2,199",5.4%,"₱27,066"
2021-01-21,Facebook,"₱4,029",1583,7.0%,38876
2021-01-22,Instagram,5323,2418,5.5%,"₱41,123"
2021-01-23,TikTok,₱8594,919,4.0%,48967
2021-01-24,Google Ads,"₱8,469",973,7.3%,"₱37,087"
2021-01-25,YouTube,5213,"50,000",4.1%,28101
2021-01-26,Instagram,₱4326,1632,4.4%,"₱26,176"
2021-01-27,Facebook,"₱6,897",2497,6.0%,46662
2021-01-28,TikTok,9084,"2,434",4.2%,"₱48,470"
2021-01-29,Google Ads,₱5331,1262,7.5%,18812
"January 30, 2021",Google Ads,"₱6,721",1743,7.1%,"₱46,313"
